"module_info","method","path","endpoint","port"
"AD-AccessLevelAPI","POST","/Admin/AccessLevelService/access-level","52.76.239.135",8280
"AD-AccessLevelAPI","GET","/Admin/AccessLevelService/access-level","52.76.239.135",8280
"AD-AccessLevelAPI","GET","/Admin/AccessLevelService/access-level/1","52.76.239.135",8280
"AD-AccessLevelAPI","PATCH","/Admin/AccessLevelService/access-level/1","52.76.239.135",8280
"AD-AccessLevelAPI","DELETE","/Admin/AccessLevelService/access-level/1","52.76.239.135",8280
"AD-CellarsServiceAPI","POST","/Admin/CellarsService/cellars","52.76.239.135",8280
"AD-CellarsServiceAPI","GET","/Admin/CellarsService/cellars","52.76.239.135",8280
"AD-CellarsServiceAPI","GET","/Admin/CellarsService/cellars/1","52.76.239.135",8280
"AD-CellarsServiceAPI","PATCH","/Admin/CellarsService/cellars/1","52.76.239.135",8280
"AD-CellarsServiceAPI","DELETE","/Admin/CellarsService/cellars/1","52.76.239.135",8280
"AD-ChemicalSpeciesServiceAPI","POST","/Admin/ChemicalSpeciesService/chemical-species","52.76.239.135",8280
"AD-ChemicalSpeciesServiceAPI","GET","/Admin/ChemicalSpeciesService/chemical-species","52.76.239.135",8280
"AD-ChemicalSpeciesServiceAPI","GET","/Admin/ChemicalSpeciesService/chemical-species/1","52.76.239.135",8280
"AD-ChemicalSpeciesServiceAPI","PATCH","/Admin/ChemicalSpeciesService/chemical-species/1","52.76.239.135",8280
"AD-ChemicalSpeciesServiceAPI","DELETE","/Admin/ChemicalSpeciesService/chemical-species/1","52.76.239.135",8280
"AD-ChemLabServiceAPI","POST","/Admin/ChemLabService/chem-lab","52.76.239.135",8280
"AD-ChemLabServiceAPI","GET","/Admin/ChemLabService/chem-lab","52.76.239.135",8280
"AD-ChemLabServiceAPI","GET","/Admin/ChemLabService/chem-lab/1","52.76.239.135",8280
"AD-ChemLabServiceAPI","PATCH","/Admin/ChemLabService/chem-lab/1","52.76.239.135",8280
"AD-ChemLabServiceAPI","DELETE","/Admin/ChemLabService/chem-lab/1","52.76.239.135",8280
"AD-MineralGroupServiceAPI","POST","/Admin/MineralGroupService/mineral-group","52.76.239.135",8280
"AD-MineralGroupServiceAPI","GET","/Admin/MineralGroupService/mineral-group","52.76.239.135",8280
"AD-MineralGroupServiceAPI","GET","/Admin/MineralGroupService/mineral-group/1","52.76.239.135",8280
"AD-MineralGroupServiceAPI","PATCH","/Admin/MineralGroupService/mineral-group/1","52.76.239.135",8280
"AD-MineralGroupServiceAPI","DELETE","/Admin/MineralGroupService/mineral-group/1","52.76.239.135",8280
"AD-MineralServiceAPI","POST","/Admin/MineralService/mineral","52.76.239.135",8280
"AD-MineralServiceAPI","GET","/Admin/MineralService/mineral","52.76.239.135",8280
"AD-MineralServiceAPI","GET","/Admin/MineralService/mineral/1","52.76.239.135",8280
"AD-MineralServiceAPI","PATCH","/Admin/MineralService/mineral/1","52.76.239.135",8280
"AD-MineralServiceAPI","DELETE","/Admin/MineralService/mineral/1","52.76.239.135",8280
"AD-PadServiceAPI","POST","/Admin/MineralService/pad","52.76.239.135",8280
"AD-PadServiceAPI","GET","/Admin/MineralService/pad","52.76.239.135",8280
"AD-PadServiceAPI","GET","/Admin/MineralService/pad/1","52.76.239.135",8280
"AD-PadServiceAPI","PATCH","/Admin/MineralService/pad/1","52.76.239.135",8280
"AD-PadServiceAPI","DELETE","/Admin/MineralService/pad/1","52.76.239.135",8280
"AD-ProjectRoleServiceAPI","POST","/Admin/ProjectRoleService/project-role","52.76.239.135",8280
"AD-ProjectRoleServiceAPI","GET","/Admin/ProjectRoleService/project-role","52.76.239.135",8280
"AD-ProjectRoleServiceAPI","GET","/Admin/ProjectRoleService/project-role/1","52.76.239.135",8280
"AD-ProjectRoleServiceAPI","PATCH","/Admin/ProjectRoleService/project-role/1","52.76.239.135",8280
"AD-ProjectRoleServiceAPI","DELETE","/Admin/ProjectRoleService/project-role/1","52.76.239.135",8280
"AD-ProjectServiceAPI","POST","/Admin/ProjectRoleService/project","52.76.239.135",8280
"AD-ProjectServiceAPI","GET","/Admin/ProjectRoleService/project","52.76.239.135",8280
"AD-ProjectServiceAPI","GET","/Admin/ProjectRoleService/project/1","52.76.239.135",8280
"AD-ProjectServiceAPI","PATCH","/Admin/ProjectRoleService/project/1","52.76.239.135",8280
"AD-ProjectServiceAPI","DELETE","/Admin/ProjectRoleService/project/1","52.76.239.135",8280
"AD-RocksServiceAPI","POST","/Admin/ProjectRoleService/rocks","52.76.239.135",8280
"AD-RocksServiceAPI","GET","/Admin/ProjectRoleService/rocks","52.76.239.135",8280
"AD-RocksServiceAPI","GET","/Admin/ProjectRoleService/rocks/1","52.76.239.135",8280
"AD-RocksServiceAPI","PATCH","/Admin/ProjectRoleService/rocks/1","52.76.239.135",8280
"AD-RocksServiceAPI","DELETE","/Admin/ProjectRoleService/rocks/1","52.76.239.135",8280
"AD-SectorServiceAPI","POST","/Admin/SectorService/sector","52.76.239.135",8280
"AD-SectorServiceAPI","GET","/Admin/SectorService/sector","52.76.239.135",8280
"AD-SectorServiceAPI","GET","/Admin/SectorService/sector/1","52.76.239.135",8280
"AD-SectorServiceAPI","PATCH","/Admin/SectorService/sector/1","52.76.239.135",8280
